medicamento,ano,distribucion,demandaInsatisfecha
FEN10,2004,5528,NA
FEN10,2005,8370,NA
FEN10,2006,7189,NA
FEN10,2007,5918,NA
FEN10,2008,6386,NA
FEN10,2009,6897,NA
FEN10,2010,6511,NA
FEN10,2011,8568,NA
FEN10,2012,5728,0
FEN10,2013,7088,0
FEN10,2014,16009,337
FEN10,2015,6943,0
FEN10,2016,7325,0
FEN10,2017,8065,0
FEN10,2018,8496,NA
FEN11,1997,8045,NA
FEN11,1998,9363,NA
FEN11,1999,4246,NA
FEN11,2000,6834,NA
FEN11,2001,8256,NA
FEN11,2002,5424,NA
FEN11,2003,4886,NA
FEN11,2004,4884,NA
FEN11,2005,5490,NA
FEN11,2006,4528,NA
FEN11,2007,4464,NA
FEN11,2008,4532,NA
FEN11,2009,4326,NA
FEN11,2010,3684,NA
FEN11,2011,2138,NA
FEN11,2012,4860,0
FEN11,2013,2917,0
FEN11,2014,4048,0
FEN11,2015,3042,0
FEN11,2016,3933,0
FEN11,2017,3665,0
FEN11,2018,4228,NA
HID01,1997,0,NA
HID01,1998,4068,NA
HID01,1999,9032,NA
HID01,2000,485,NA
HID01,2001,3239,NA
HID01,2002,1041,NA
HID01,2003,1312,NA
HID01,2004,2600,NA
HID01,2005,2710,NA
HID01,2006,3330,NA
HID01,2007,12137,NA
HID01,2008,19452,NA
HID01,2009,20179,NA
HID01,2010,22726,NA
HID01,2011,36984,NA
HID01,2012,39210,8224
HID01,2013,56074,0
HID01,2014,53673,20626
HID01,2015,71225,0
HID01,2016,100429,0
HID01,2017,99975,63058
HID01,2018,157731,NA
HID02,1997,0,NA
HID02,1998,3595,NA
HID02,1999,5100,NA
HID02,2000,1189,NA
HID02,2001,2806,NA
HID02,2002,2605,NA
HID02,2003,3532,NA
HID02,2004,3821,NA
HID02,2005,4327,NA
HID02,2006,3558,NA
HID02,2007,1317,NA
HID02,2008,29,NA
HID02,2009,1593,NA
HID02,2010,1230,NA
HID02,2011,2289,NA
HID02,2012,2690,1196
HID02,2013,3623,414
HID02,2014,5484,4535
HID02,2015,3942,2218
HID02,2016,0,7861
HID02,2017,0,2545
HID02,2018,0,NA
HID10,1997,11083,NA
HID10,1998,1423,NA
HID10,1999,2501,NA
HID10,2000,3182,NA
HID10,2001,3027,NA
HID10,2002,6261,NA
HID10,2003,2546,NA
HID10,2004,3525,NA
HID10,2005,4810,NA
HID10,2006,7077,NA
HID10,2007,9918,NA
HID10,2008,12170,NA
HID10,2009,18049,NA
HID10,2010,23235,NA
HID10,2011,33523,NA
HID10,2012,33904,5903
HID10,2013,55082,4538
HID10,2014,67359,26062
HID10,2015,95660,0
HID10,2016,135847,19999
HID10,2017,175078,14795
HID10,2018,246049,NA
MEP01,1997,49612,NA
MEP01,1998,34459,NA
MEP01,1999,25397,NA
MEP01,2000,40850,NA
MEP01,2001,48256,NA
MEP01,2002,23324,NA
MEP01,2003,42068,NA
MEP01,2004,28050,NA
MEP01,2005,15985,NA
MEP01,2006,30694,NA
MEP01,2007,33671,NA
MEP01,2008,32743,NA
MEP01,2009,36789,NA
MEP01,2010,32566,NA
MEP01,2011,33860,NA
MEP01,2012,35750,5680
MEP01,2013,42477,1746
MEP01,2014,44785,0
MEP01,2015,35329,0
MEP01,2016,35727,0
MEP01,2017,40128,0
MEP01,2018,34980,NA
MOR01,1997,0,NA
MOR01,1998,10317,NA
MOR01,1999,25035,NA
MOR01,2000,19396,NA
MOR01,2001,21560,NA
MOR01,2002,22021,NA
MOR01,2003,32659,NA
MOR01,2004,32302,NA
MOR01,2005,38638,NA
MOR01,2006,42562,NA
MOR01,2007,47661,NA
MOR01,2008,48419,NA
MOR01,2009,55827,NA
MOR01,2010,72943,NA
MOR01,2011,63223,NA
MOR01,2012,61183,0
MOR01,2013,76188,4797
MOR01,2014,87139,47763
MOR01,2015,83207,0
MOR01,2016,91690,0
MOR01,2017,86812,0
MOR01,2018,102782,NA
MOR11,1997,0,NA
MOR11,1998,42565,NA
MOR11,1999,25877,NA
MOR11,2000,41890,NA
MOR11,2001,46395,NA
MOR11,2002,31139,NA
MOR11,2003,51049,NA
MOR11,2004,42255,NA
MOR11,2005,53534,NA
MOR11,2006,63772,NA
MOR11,2007,68446,NA
MOR11,2008,77627,NA
MOR11,2009,90760,NA
MOR11,2010,110307,NA
MOR11,2011,107136,NA
MOR11,2012,109929,0
MOR11,2013,141374,0
MOR11,2014,167949,9685
MOR11,2015,150596,670
MOR11,2016,172297,0
MOR11,2017,147268,122423
MOR11,2018,144490,NA
MOR02,1997,20687,NA
MOR02,1998,31674,NA
MOR02,1999,25392,NA
MOR02,2000,19924,NA
MOR02,2001,20987,NA
MOR02,2002,22786,NA
MOR02,2003,11956,NA
MOR02,2004,20448,NA
MOR02,2005,25050,NA
MOR02,2006,17462,NA
MOR02,2007,24914,NA
MOR02,2008,18770,NA
MOR02,2009,18071,NA
MOR02,2010,23702,NA
MOR02,2011,17417,NA
MOR02,2012,12887,0
MOR02,2013,20733,0
MOR02,2014,20002,0
MOR02,2015,15172,0
MOR02,2016,17034,0
MOR02,2017,17950,0
MOR02,2018,14442,NA
MET01,1997,3755,NA
MET01,1998,1821,NA
MET01,1999,1843,NA
MET01,2000,4497,NA
MET01,2001,3337,NA
MET01,2002,1381,NA
MET01,2003,631,NA
MET01,2004,2835,NA
MET01,2005,4720,NA
MET01,2006,5169,NA
MET01,2007,8157,NA
MET01,2008,15445,NA
MET01,2009,20819,NA
MET01,2010,26854,NA
MET01,2011,43585,NA
MET01,2012,37095,13139
MET01,2013,43783,0
MET01,2014,43894,2363
MET01,2015,42644,2400
MET01,2016,43033,6357
MET01,2017,49821,0
MET01,2018,54934,NA
MET02,1997,2840,NA
MET02,1998,986,NA
MET02,1999,1081,NA
MET02,2000,2053,NA
MET02,2001,1324,NA
MET02,2002,2786,NA
MET02,2003,1142,NA
MET02,2004,1237,NA
MET02,2005,1174,NA
MET02,2006,2161,NA
MET02,2007,2687,NA
MET02,2008,4884,NA
MET02,2009,7723,NA
MET02,2010,7256,NA
MET02,2011,13937,NA
MET02,2012,15027,4839
MET02,2013,20991,0
MET02,2014,18994,0
MET02,2015,20906,0
MET02,2016,23768,0
MET02,2017,21962,4815
MET02,2018,20602,NA
MFT01,1997,20738,NA
MFT01,1998,32996,NA
MFT01,1999,47348,NA
MFT01,2000,40558,NA
MFT01,2001,40685,NA
MFT01,2002,56159,NA
MFT01,2003,49289,NA
MFT01,2004,66125,NA
MFT01,2005,82215,NA
MFT01,2006,63249,NA
MFT01,2007,73031,NA
MFT01,2008,62913,NA
MFT01,2009,83565,NA
MFT01,2010,91762,NA
MFT01,2011,100065,NA
MFT01,2012,89186,13000
MFT01,2013,131231,16078
MFT01,2014,136222,22189
MFT01,2015,101328,0
MFT01,2016,131560,692
MFT01,2017,120106,52004
MFT01,2018,123533,NA
MFT02,1997,0,NA
MFT02,1998,0,NA
MFT02,1999,0,NA
MFT02,2000,0,NA
MFT02,2001,0,NA
MFT02,2002,0,NA
MFT02,2003,0,NA
MFT02,2004,0,NA
MFT02,2005,0,NA
MFT02,2006,442,NA
MFT02,2007,759,NA
MFT02,2008,734,NA
MFT02,2009,926,NA
MFT02,2010,1147,NA
MFT02,2011,1927,NA
MFT02,2012,1553,162
MFT02,2013,2032,384
MFT02,2014,1955,855
MFT02,2015,2289,0
MFT02,2016,492,1143
MFT02,2017,437,109
MFT02,2018,504,NA
MFT03,1997,0,NA
MFT03,1998,0,NA
MFT03,1999,0,NA
MFT03,2000,0,NA
MFT03,2001,0,NA
MFT03,2002,0,NA
MFT03,2003,0,NA
MFT03,2004,0,NA
MFT03,2005,0,NA
MFT03,2006,181,NA
MFT03,2007,360,NA
MFT03,2008,410,NA
MFT03,2009,645,NA
MFT03,2010,788,NA
MFT03,2011,1307,NA
MFT03,2012,730,0
MFT03,2013,1075,418
MFT03,2014,1700,1403
MFT03,2015,1583,0
MFT03,2016,967,37
MFT03,2017,906,34
MFT03,2018,214,NA
MFT04,1997,0,NA
MFT04,1998,0,NA
MFT04,1999,0,NA
MFT04,2000,0,NA
MFT04,2001,0,NA
MFT04,2002,0,NA
MFT04,2003,595,NA
MFT04,2004,977,NA
MFT04,2005,1171,NA
MFT04,2006,1229,NA
MFT04,2007,1521,NA
MFT04,2008,2004,NA
MFT04,2009,2743,NA
MFT04,2010,2944,NA
MFT04,2011,5253,NA
MFT04,2012,3316,493
MFT04,2013,3616,541
MFT04,2014,4748,3420
MFT04,2015,3825,4003
MFT04,2016,5558,0
MFT04,2017,5344,0
MFT04,2018,6139,NA
MFT05,1997,0,NA
MFT05,1998,0,NA
MFT05,1999,0,NA
MFT05,2000,0,NA
MFT05,2001,0,NA
MFT05,2002,0,NA
MFT05,2003,595,NA
MFT05,2004,977,NA
MFT05,2005,1171,NA
MFT05,2006,1229,NA
MFT05,2007,1521,NA
MFT05,2008,2004,NA
MFT05,2009,2743,NA
MFT05,2010,2944,NA
MFT05,2011,5253,NA
MFT05,2012,3358,0
MFT05,2013,4162,1211
MFT05,2014,4059,4809
MFT05,2015,4152,2569
MFT05,2016,5681,0
MFT05,2017,4276,0
MFT05,2018,6159,NA
PRI01,1997,0,NA
PRI01,1998,0,NA
PRI01,1999,0,NA
PRI01,2000,0,NA
PRI01,2001,0,NA
PRI01,2002,0,NA
PRI01,2003,0,NA
PRI01,2004,0,NA
PRI01,2005,0,NA
PRI01,2006,0,NA
PRI01,2007,0,NA
PRI01,2008,0,NA
PRI01,2009,0,NA
PRI01,2010,6910,NA
PRI01,2011,7624,NA
PRI01,2012,7320,598
PRI01,2013,9261,1934
PRI01,2014,8066,4479
PRI01,2015,8619,0
PRI01,2016,9162,0
PRI01,2017,7550,595
PRI01,2018,9604,NA
