medicamento,ano,distribucion,demandaInsatisfecha
FEN01,1997,10756,NA
FEN01,1998,20056,NA
FEN01,1999,14768,NA
FEN01,2000,6999,NA
FEN01,2001,21530,NA
FEN01,2002,9327,NA
FEN01,2003,17520,NA
FEN01,2004,8165,NA
FEN01,2005,13922,NA
FEN01,2006,11052,NA
FEN01,2007,13160,NA
FEN01,2008,15513,NA
FEN01,2009,15698,NA
FEN01,2010,20001,NA
FEN01,2011,22716,NA
FEN01,2012,16639,0
FEN01,2013,23698,569
FEN01,2014,31907,3334
FEN01,2015,24237,565
FEN01,2016,425,0
FEN01,2017,11862,0
FEN01,2018,6196,NA
FEN02,1997,16271,NA
FEN02,1998,15514,NA
FEN02,1999,12434,NA
FEN02,2000,12256,NA
FEN02,2001,12752,NA
FEN02,2002,13766,NA
FEN02,2003,9062,NA
FEN02,2004,7153,NA
FEN02,2005,10262,NA
FEN02,2006,7922,NA
FEN02,2007,8410,NA
FEN02,2008,8859,NA
FEN02,2009,8664,NA
FEN02,2010,9958,NA
FEN02,2011,8644,NA
FEN02,2012,9645,0
FEN02,2013,10907,2362
FEN02,2014,11748,0
FEN02,2015,9862,0
FEN02,2016,11715,3690
FEN02,2017,9432,0
FEN02,2018,10654,NA
FEN03,1997,63303,NA
FEN03,1998,75057,NA
FEN03,1999,86430,NA
FEN03,2000,61640,NA
FEN03,2001,65228,NA
FEN03,2002,44427,NA
FEN03,2003,47344,NA
FEN03,2004,25224,NA
FEN03,2005,27437,NA
FEN03,2006,33304,NA
FEN03,2007,20371,NA
FEN03,2008,35546,NA
FEN03,2009,21468,NA
FEN03,2010,19311,NA
FEN03,2011,18562,NA
FEN03,2012,21486,826
FEN03,2013,15103,10982
FEN03,2014,16124,0
FEN03,2015,15910,0
FEN03,2016,20727,6161
FEN03,2017,19670,0
FEN03,2018,20375,NA
FEN04,1997,450863,NA
FEN04,1998,442407,NA
FEN04,1999,554773,NA
FEN04,2000,512311,NA
FEN04,2001,532892,NA
FEN04,2002,350967,NA
FEN04,2003,652029,NA
FEN04,2004,480400,NA
FEN04,2005,466896,NA
FEN04,2006,482028,NA
FEN04,2007,480077,NA
FEN04,2008,419886,NA
FEN04,2009,509975,NA
FEN04,2010,518952,NA
FEN04,2011,467684,NA
FEN04,2012,424666,12763
FEN04,2013,545767,21584
FEN04,2014,487494,0
FEN04,2015,438023,0
FEN04,2016,469713,63966
FEN04,2017,490361,0
FEN04,2018,444846,NA
FEN04,1997,8666,NA
FEN10,1998,7501,NA
FEN10,1999,5775,NA
FEN10,2000,4596,NA
FEN10,2001,10285,NA
FEN10,2002,16993,NA
FEN10,2003,5250,NA
