Depto,ID,Total,Cabecera,Resto,Area,Densidad
Amazonas,0,77753,37968,39785,109665,0.709
Antioquia,1,6550206,5133738,1416468,63612,102.971
Arauca,2,280109,183856,96253,23818,11.760
Atlántico,3,2638151,2502642,135509,3388,778.675
Bolívar,4,2130512,1587489,543023,25978,82.012
Boyacá,5,1230910,722864,508046,23189,53.082
Caldas,6,1008344,755182,253162,7888,127.833
Caquetá,7,406142,262723,143419,88965,4.565
Casanare,8,428563,303286,125277,44640,9.600
Cauca,9,1478407,546328,932079,29308,50.444
Cesar,10,1252398,942129,310269,22905,54.678
Chocó,11,539933,243223,296710,46530,11.604
Córdoba,12,1808439,945587,862852,25020,72.280
Cundinamarca,13,3085522,2250178,835344,22633,136.328
Guainía,14,49473,21334,28139,72238,0.685
Guaviare,15,84716,47379,37337,53460,1.585
Huila,16,1111844,674903,436941,19890,55.900
La Guajira,17,927506,445158,482348,20848,44.489
Magdalena,18,1388832,967629,421203,23188,59.894
Meta,19,1052125,803166,248959,85635,12.286
Nariño,20,1628981,715004,913977,33268,48.965
Norte de Santander,21,1565362,1235476,329886,21658,72.276
Putumayo,22,353759,178490,175269,24885,14.216
Quindío,23,547855,480255,67600,1845,296.940
Risaralda,24,952511,749533,202978,4140,230.075
"Archipiélago de San Andrés, Providencia y Santa Catalina",25,62482,45222,17260,52,1201.577
Santander,26,2237587,1704309,533278,30537,73.275
Sucre,27,928984,581298,347686,10917,85.095
Tolima,28,1335313,913544,421769,23562,56.672
Valle del Cauca,29,4506768,3840356,666412,22140,203.558
Vaupés,30,42721,12512,30209,54135,0.789
Vichada,31,110599,26910,83689,100242,1.103
"Bogotá, D.C.",32,7592871,7566185,26686,1775,4277.674
